"nom_methode_dpe","version_methode_dpe","date_etablissement_dpe","consommation_energie","classe_consommation_energie","estimation_ges","classe_estimation_ges","annee_construction","surface_thermique_lot","latitude","longitude","tr001_modele_dpe_type_libelle","tr002_type_batiment_description","code_insee_commune_actualise","tv016_departement_code","geo_adresse","geo_score"
"TROIS_CL_DPE","VERSION_2012","2013-05-13",757.99,"G",49.55,"E",1965,38,47.713418,2.929262,"Vente","Maison Individuelle","89046","89","Les Montagnes des Trotards 89220 Bléneau",0.32
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-17",131,"C",30,"D",2010,85.61,48.1123887,1.9398912,"Location","Logement","90340","90","Impasse de la Mairie (Chemin) Ruan",0.82
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-18",348,"F",18,"C",2006,40.74,48.651118,2.444527,"Location","Logement","91600","91","3 Avenue de la Libération 91450 Soisy-sur-Seine",0.59
"3CL - DPE","V2012","2013-04-22",180.11,"D",8.6,"B",2000,129.51,47.8626637,4.5802031,"Vente","Logement","92012","92","Rue de Seine (Pont) Châtillon-sur-Seine",0.72
"FACTURE","VERSION_2012","2013-04-16",238.69,"E",55.85,"E",1930,81,43.116722,1.611349,"Vente","Maison Individuelle","93079","93","Maison au 28 rue Gabriel-Péri (Patrimoine national) Pamiers",0.76
"Méthode Facture",,"2013-04-24",163,"D",38,"E",1947,174,49.4381798,1.111642,"Vente","Maison Individuelle","94130","94","Boulevard Gambetta (Pont) Rouen",0.77
"Méthode Facture",,"2013-04-13",155,"D",5,"A",1947,168,48.6986993,2.1644903,"Vente","Maison Individuelle","95190","95","Rue André Ampère (Pont) Bures-sur-Yvette",0.89
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-18",258,"E",15,"C",1989,98,46.754957,-1.6780221,"Location","Maison Individuelle","01400","01","Lotissement Le Domaine du Lac 2 (Zone résidentielle) Maché",0.73
"Méthode Facture",,"2013-04-30",172,"D",40,"E",1947,140.16,43.4074471,5.9234424,"Location","Maison Individuelle","02120","02","Fontaine Rue Sadi-Carnot Tourves",0.72
"Méthode Facture",,"2013-05-02",422,"F",77,"F",1947,72.7,,,"Vente","Logement","03400","03",,0
"3CL - DPE","V2012","2013-05-18",211,"D",12,"C",2006,121,43.822629,5.858897,"Vente","Maison Individuelle","04230","04","75 Les Chabrands 04210 Valensole",0.94
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-07",932,"G",60,"F",1948,41.2,48.3829196,-4.484692,"Vente","Logement","05160","05","Les Mouettes (Pub) Brest",0.9
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-15",286,"E",45,"E",1948,50.71,,,"Location","Logement","06100","06",,0
"TROIS_CL_DPE","VERSION_2012","2013-04-22",290.44,"E",37.01,"E",1990,105,,,"Vente","Maison Individuelle","07077","07",,0
"FACTURE","VERSION_2012","2013-05-06",451.16,"G",10.1,"B",1900,71,49.758118,4.712404,"Vente","Maison Individuelle","08105","08","4 Boulevard de Chatillon 08000 Charleville-Mézières",0.96
"Méthode Facture",,"2013-05-14",153,"D",35,"D",1947,72,43.6007184,1.4517298,"Vente","Logement","09210","09","Station François Verdier, Sortie vers Rue de Metz, Ligne B, 31000 Toulouse (Escalier) Toulouse",0.74
"3CL - DPE","2012","2013-05-03",417.57,"F",24.06,"D",1975,75.6,48.36461,3.995098,"Vente","Maison Individuelle","10349","10","5 Rue Claude Debussy 10180 Saint-Lyé",0.94
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-22",158,"D",7,"B",2006,40,,,"Vente","Logement","11100","11",,0
"Méthode Facture",,"2013-05-14",69,"B",4,"A",1947,60,47.9910304,2.212915,"Vente","Maison Individuelle","12360","12","Le Bourg (Bar) Ingrannes",0.9
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-16",433,"F",24,"D",1948,24.98,47.145166,1.1272799,"Location","Logement","13005","13","Avenue des Chartreux (Chemin) Chemillé-sur-Indrois",0.78
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-19",172,"D",40,"E",1983,104,48.9210128,2.1672345,"Vente","Maison Individuelle","14470","14","Rue des Petits Champs (Chemin) Carrières-sur-Seine",0.79
"TROIS_CL_DPE","VERSION_2012","2013-05-27",1020.86,"G",63.9,"F",1996,31.5,,,"Vente","Maison Individuelle","15007","15",,0
"FACTURE - DPE","V2012","2013-04-09",30.38,"A",7.11,"B",2006,87.5,45.63127,0.166008,"Neuf","Maison Individuelle","16015","16","Hameau des Rossignols 16000 Angoulême",0.86
"3CL - DPE","V2012","2013-04-11",0,"N",0,"N",1900,38,44.2361942,1.7721781,"Vente","Logement","17300","17","Rue des Cloutiers (Chemin piéton) Caylus",0.8
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-02",304,"E",17,"C",1978,118.2,50.5370243,3.0065138,"Vente","Maison Individuelle","18570","18","Rue du Paradis (Chemin) Chemy",0.74
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-22",246,"E",12,"C",2001,34,,,"Location","Logement","19100","19",,0
"Méthode Facture",,"2013-04-29",236,"E",36,"E",1947,82.7,44.1049078,3.0766731,"Vente","Maison Individuelle","21000","21","36 rue des Lilas (Maison d'hôte) Millau",0.73
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-03",130,"C",30,"D",1989,77.4,49.7750339,3.999804,"Vente","Maison Individuelle","22440","22","Rue du Muguet (Chemin) Nampcelles-la-Cour",0.78
"FACTURE","VERSION_2012","2013-05-02",0,"A",0,"A",1900,135.5,,,"Vente","Maison Individuelle","23004","23",,0
"FACTURE - DPE","V2012","2013-05-02",0,"N",0,"N",1948,330,45.359622,0.572517,"Vente","Maison Individuelle","24430","24","Barneuil 24310 Brantôme en Périgord",0.94
"FACTURE - DPE","V2012","2013-04-22",0,"N",0,"N",1948,95.93,47.49666,6.531243,"Location","Maison Individuelle","25005","25","1 Rue de la Charrière 25250 Accolans",0.93
"FACTURE","VERSION_2012","2013-04-22",0,"A",0,"A",1800,43,,,"Location","Logement","26008","26",,0
"TROIS_CL_DPE","VERSION_2012","2013-04-23",263.05,"E",3.58,"A",1967,110,,,"Vente","Maison Individuelle","27048","27",,0
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-29",256,"E",12,"C",1989,120,48.301607,1.825027,"Vente","Maison Individuelle","28210","28","Ruelle des Tacherons 28310 Levesville-la-Chenard",0.45
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-02",187,"D",8,"B",2006,90,46.6672491,-1.3948954,"Vente","Maison Individuelle","29200","29","Agatha Christie (Arrêt de bus) La Roche-sur-Yon",0.74
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-03",145,"C",6,"B",2004,166.22,42.536176,8.886676,"Vente","Maison Individuelle","20167","2A","Campo Communo 20214 Montegrosso",0.4
"3CL - DPE","V2012","2013-05-15",436.93,"F",25.72,"D",1950,74,44.1452936,4.8225288,"Vente","Logement","20057","2B","Hameau de Fanny (Zone résidentielle) Orange",0.78
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-19",567,"G",132,"G",1948,29.13,,,"Vente","Logement","30240","30",,0
"3CL","3CL-DPE, version 1.3","2013-04-08",177,"D",9,"B",2001,70.66,47.9278248,1.8941395,"Vente","Logement","31200","31","Rue Paul Verlaine (Chemin piéton) Orléans",0.8
"TROIS_CL_DPE","VERSION_2012","2013-04-19",208.37,"D",10.65,"B",1985,100,43.6417119,0.5950781,"Vente","Maison Individuelle","32001","32","Résidence Les Terrasses (Zone résidentielle) Auch",0.9
"3CL","3CL-DPE, version 1.3","2013-04-12",139,"C",32,"D",1948,123.76,43.4432433,4.9408493,"Vente","Maison Individuelle","33610","33","Stade de l'Allée des Pins Fos-sur-Mer",0.76
"3CL - DPE","V2012","2013-04-15",315.86,"E",15.33,"C",1988,102,48.6071297,2.4838694,"Vente","Maison Individuelle","34198","34","Parking de la place Jean Moulin Corbeil-Essonnes",0.81
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-16",150,"C",6,"B",2008,55,47.6557482,1.4880333,"Vente","Logement","35190","35","Arrêt de Bus Rue Nationale Saint-Dyé-sur-Loire",0.78
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-30",241,"E",12,"C",1978,105.6,,,"Vente","Maison Individuelle","36110","36",,0
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-22",329,"E",98,"G",1948,82,47.028278,0.494604,"Vente","Maison Individuelle","37140","37","Les Poiriers 37120 Luzé",0.37
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-22",183,"D",41,"E",1948,130,48.6680174,1.7662552,"Vente","Maison Individuelle","38200","38","Chemin du Vieux Château Gazeran",0.8
"3CL - DPE","V2012","2013-05-06",380.64,"F",23.73,"D",1980,120,47.084372,5.473147,"Vente","Maison Individuelle","39198","39","29 Rue Prince de Condé 39100 Dole",0.85
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-18",131,"C",30,"D",1984,78.4,,,"Vente","Maison Individuelle","40400","40",,0
"TROIS_CL_DPE","VERSION_2012","2013-04-18",105.48,"C",4.52,"A",2011,166,47.385485,1.959567,"Location","Maison Individuelle","41084","41","Chemin Vert 41300 La Ferté-Imbault",0.64
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-27",149,"C",26,"D",2006,89.5,45.806436,4.152829,"Vente","Maison Individuelle","42155","42","Lotissement les Sapins 42510 Nervieux",0.39
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-17",143,"C",33,"D",1948,86,45.383188,3.269456,"Vente","Logement","43120","43","22 Avenue de la Gare 43410 Lempdes-sur-Allagnon",0.46
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-17",120,"C",5,"A",2006,100,,,"Vente","Maison Individuelle","44250","44",,0
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-18",211,"D",34,"D",1978,138,,,"Vente","Maison Individuelle","45190","45",,0
"3CL - DPE","V2012","2013-05-07",292.39,"E",3.88,"A",1978,173.2,44.5594994,0.9509118,"Vente","Maison Individuelle","46061","46","(Pont) Cuzorn",0.89
"Méthode Facture",,"2013-05-07",0,"N",0,"N",1947,84.77,46.5224647,5.150254,"Vente","Maison Individuelle","47800","47","Les Bois Charbonniers (Forêt) Romenay",0.9
"Méthode Facture",,"2013-05-18",0,"N",0,"N",1947,95,45.681703,5.9155607,"Vente","Maison Individuelle","48700","48","Belvédère du Bois Vidal (Point de vue) Aix-les-Bains",0.72
"Méthode Facture",,"2013-04-22",159,"D",37,"E",1947,198,48.2217711,7.6478467,"Vente","Maison Individuelle","49400","49","Rue du Canal d'Alsace (Pont) Schœnau",0.72
"Méthode Facture",,"2013-04-16",352,"F",93,"G",1947,217,48.7405394,1.6620623,"Vente","Maison Individuelle","50700","50","Rue de la Poterie (Pont) Condé-sur-Vesgre",0.74
"TROIS_CL_DPE","VERSION_2012","2013-05-03",311.1,"E",14.88,"C",2007,90,48.852943,3.599342,"Vente","Maison Individuelle","51050","51","1 Rue de Boutavent 51210 Bergères-sous-Montmirail",0.39
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-07",118,"C",32,"D",2006,121.34,48.383693,4.994809,"Location","Maison Individuelle","52110","52","28 Rue des 2 Ecoles 52110 Charmes-la-Grande",0.47
"3CL - DPE","V2012","2013-04-22",484.41,"G",28.81,"D",1974,68.06,48.316681,-0.788982,"Vente","Maison Individuelle","53064","53","La Petite Gibaudiere 53100 Châtillon-sur-Colmont",0.31
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-23",560,"G",35,"D",1948,99.5,48.87686,5.847097,"Vente","Logement","54200","54","9 Rue de Mort-mare 54470 Flirey",0.31
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-30",626,"G",146,"G",1948,117.48,,,"Vente","Maison Individuelle","55100","55",,0
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-16",189,"D",8,"B",2001,65,,,"Location","Maison Individuelle","56610","56",,0
"TROIS_CL_DPE","VERSION_2012","2013-04-23",291.34,"E",87.4,"G",1976,242,49.3590165,6.1695315,"Vente","Maison Individuelle","57016","57","Radio Taxi Thionville Rue du Luxembourg Thionville",0.77
"3CL - DPE","V2012","2013-05-03",148.17,"C",34.67,"D",2006,94.45,46.749931,3.484046,"Location","Maison Individuelle","58087","58","14 Route de Decize 58300 Cossaye",0.94
"Méthode Facture",,"2013-04-12",0,"N",0,"N",1947,18.6,50.446493,3.5930659,"Location","Logement","59163","59","Rue du Quesnoy (Pont) Condé-sur-l'Escaut",0.74
"Méthode Facture",,"2013-04-12",226,"D",7,"B",1,89.1,49.5081411,2.4321637,"Neuf","Maison Individuelle","60360","60","Rue d'Amiens (Pont) Saint-Just-en-Chaussée",0.9
"Méthode Facture",,"2013-04-17",0,"N",0,"N",1947,78,48.557896,0.620118,"Vente","Maison Individuelle","61160","61","Lieu Dit Chatillon 61400 Feings",0.52
"Méthode Facture",,"2013-04-12",254,"E",8,"B",1,75.48,,,"Neuf","Maison Individuelle","62950","62",,0
"3CL - DPE","V2012","2013-05-02",303,"E",91,"G",2001,62.9,45.581531,2.783375,"Vente","Maison Individuelle","63236","63","Rigolet Bas 63240 Mont-Dore",0.77
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-23",230,"D",53,"E",1960,115,43.355017,-0.270859,"Vente","Maison Individuelle","64370","64","6 Route de Bernadets 64160 Maucor",0.58
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-18",342,"F",102,"G",1948,85,,,"Vente","Maison Individuelle","65500","65",,0
"3CL - DPE","V2012","2013-04-08",686.16,"G",8.92,"B",1990,33.5,42.552071,2.242372,"Vente","Maison Individuelle","66010","66","Cabrils 66360 Ayguatébia-Talau",0.51
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-25",227,"D",12,"C",1948,104.8,,,"Vente","Logement","67700","67",,0
"Méthode Facture",,"2013-04-29",280,"E",7,"B",1947,60,,,"Location","Maison Individuelle","68480","68",,0
"Méthode Facture",,"2013-04-11",189,"D",44,"E",1947,79,47.1773086,-1.5530165,"Location","Logement","69240","69","Avenue Marie-Claude Vaillant-Couturier (Piste cyclable) Rezé",0.72
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-07",116,"C",4,"A",2006,134,47.270967,5.71822,"Location","Maison Individuelle","70150","70","Rue du Bois à Morogne 70150 Chenevrey-et-Morogne",0.31
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-20",163,"D",38,"E",1972,62.4,,,"Vente","Logement","71160","71",,0
"Méthode Facture",,"2013-05-03",359,"F",46,"E",1947,92,47.6933703,-0.0731411,"Vente","Maison Individuelle","72200","72","École maternelle Estournelles de Constant (Jardin d'enfant) La Flèche",0.71
"TROIS_CL_DPE","VERSION_2012","2013-05-06",414.71,"F",20.87,"C",1985,98.12,45.673746,5.91842,"Vente","Maison Individuelle","73008","73","Che de Blanche Pierre 73100 Aix-les-Bains",0.41
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-16",221,"D",47,"E",1996,114.75,,,"Location","Maison Individuelle","74140","74",,0
"3CL - DPE","V2012","2013-04-05",572.25,"G",16.2,"C",1920,24,48.8762025,2.3710966,"Location","Logement","75056","75","Le Vicq d'Azir (Restaurant) Paris",0.72
"Méthode Facture",,"2013-04-12",200,"D",6,"B",1,136.34,48.050155,3.299187,"Neuf","Maison Individuelle","76430","76","Chapelle de la Maladrerie (ancienne) (Patrimoine national) Saint-Julien-du-Sault",0.85
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-13",140,"C",32,"D",1989,86.4,49.1843007,-0.3922465,"Vente","Maison Individuelle","77290","77","Marché de la Rue de Bayeux (Place de marché) Caen",0.72
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-20",289,"E",67,"F",1978,111,43.9197589,5.0492978,"Vente","Maison Individuelle","78360","78","Rue Alfred de Musset (Pont) L'Isle-sur-la-Sorgue",0.78
"3CL - DPE","V2012","2013-04-12",255.7,"E",10.31,"B",1949,88.85,46.831746,-0.491783,"Location","Maison Individuelle","79049","79","74 Rue de Boisme 79300 Bressuire",0.95
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-11",424,"F",87,"G",1948,105.42,49.739416,3.093095,"Vente","Maison Individuelle","80410","80","Rue Anatole France 80400 Ham",0.55
"Méthode Facture",,"2013-05-06",222,"D",7,"B",1947,76.96,,,"Vente","Maison Individuelle","81000","81",,0
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-13",189,"D",9,"B",2004,97,47.9910304,2.212915,"Vente","Maison Individuelle","82330","82","Le Bourg (Bar) Ingrannes",0.9
"3CL","3CL-DPE, version 1.3","2013-04-12",208,"D",8,"B",3250,88,,,"Location","Maison Individuelle","83136","83",,0
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-19",212,"D",9,"B",2006,63.32,44.314832,4.952008,"Vente","Logement","84150","84","Rue des Remparts 84820 Visan",0.32
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-02",311,"E",15,"C",2006,46,47.259518,0.2555686,"Location","Logement","85620","85","Rue des Volets (Chemin) La Chapelle-sur-Loire",0.73
"3CL - DPE","V2012","2013-04-16",0,"N",0,"N",1930,112.17,46.575034,0.30783,"Vente","Maison Individuelle","86027","86","Rue des Metairies 86580 Biard",0.31
"3CL - DPE","V2012","2013-04-18",0,"N",0,"N",1900,117.5,45.886789,0.899058,"Location","Maison Individuelle","87154","87","3 Rue Camélinat 87200 Saint-Junien",0.7
"3CL - DPE","V2012","2013-04-02",329.88,"E",70.18,"F",1949,83.43,48.016257,6.585197,"Location","Maison Individuelle","88383","88","1 Rue du Point du Jour 88200 Remiremont",0.95
"Méthode Facture",,"2013-05-14",0,"N",0,"N",1947,207,47.929287,3.601814,"Vente","Bâtiment collectif à usage principal d'habitation","89200","89","Rue de la Mairie 89250 Hauterive",0.54
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-17",147,"C",34,"D",2006,40,50.6463075,3.0614031,"Location","Logement","90000","90","Square de l'Avenue du Peuple Belge (Parc) Lille",0.75
"Méthode Facture",,"2013-04-18",208,"D",47,"E",1,71,48.622771,2.441363,"Vente","Logement","91000","91","Villa Simon Dereure (Chemin piéton) Évry",0.81
"Méthode Facture",,"2013-04-23",117,"C",27,"D",1947,71.55,46.1404094,-1.1216239,"Location","Logement","92160","92","Rue d'Aquitaine (Piste cyclable) Aytré",0.79
"FACTURE","VERSION_2012","2013-04-16",238.69,"E",55.85,"E",1930,81,43.116722,1.611349,"Vente","Maison Individuelle","93079","93","Maison au 28 rue Gabriel-Péri (Patrimoine national) Pamiers",0.76
"FACTURE","VERSION_2012","2013-04-29",382.36,"F",2326.33,"G",1963,57.8,48.803453,2.455976,"Vente","Logement","94028","94","1 Rue Francis Picabia 94000 Créteil",0.96
"TROIS_CL_DPE","VERSION_2012","2013-04-16",229.34,"D",10.14,"B",1998,53,48.994862,2.380487,"Vente","Logement","95585","95","19 Rue des Bauves 95200 Sarcelles",0.84
"Méthode Facture",,"2013-04-22",0,"N",0,"N",1947,61.8,,,"Vente","Maison Individuelle","01110","01",,0
"3CL - DPE","V2012","2013-04-30",396.16,"F",92.7,"G",1949,96,,,"Vente","Maison Individuelle","2738","02",,0
"Méthode Facture",,"2013-05-03",0,"N",0,"N",1947,74.6,,,"Location","Maison Individuelle","03500","03",,0
"FACTURE","VERSION_2012","2013-05-18",151.32,"D",45.39,"E",1900,116.4,,,"Vente","Maison Individuelle","04042","04",,0
"Méthode Facture",,"2013-05-05",203,"D",5,"A",1947,108,48.8533812,2.3684569,"Vente","Maison Individuelle","05120","05","Bastille - Rue Saint-Antoine (Arrêt de bus) Paris",0.76
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-15",170,"D",39,"E",1978,110,49.2720738,-0.7018083,"Vente","Logement","06110","06","Boulevard Sadi-Carnot (Pont) Bayeux",0.79
"TROIS_CL_DPE","VERSION_2012","2013-04-23",321.54,"E",55.52,"E",1960,70,,,"Location","Logement","07077","07",,0
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-07",196,"D",10,"B",2008,133.2,49.731401,4.672447,"Vente","Maison Individuelle","08160","08","Rue des Paquis 08090 Évigny",0.33
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-15",330,"E",77,"F",1948,111.4,,,"Vente","Bâtiment collectif à usage principal d'habitation","09000","09",,0
"Méthode Facture",,"2013-05-07",261,"E",61,"F",1947,58,,,"Vente","Logement","10000","10",,0
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-22",183,"D",8,"B",1994,35,,,"Vente","Maison Individuelle","11430","11",,0
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-15",252,"E",52,"E",1948,90,,,"Location","Logement","12340","12",,0
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-17",135,"C",31,"D",1963,71.92,,,"Vente","Logement","13005","13",,0
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-20",328,"E",14,"C",1948,24.7,49.4297216,1.0751998,"Vente","Logement","14000","14","Avenue de Caen (Arrêt de tram) Rouen",0.7
"fact","V2012","2013-05-27",0,"N",0,"N",1974,79.5,45.349152,2.442892,"Vente","Maison Individuelle","15265","15","30 Avenue Martial Lapeyre 15210 Ydes",0.86
"FACTURE - DPE","V2012","2013-04-09",34.88,"A",8.16,"B",2006,73.5,45.63127,0.166008,"Neuf","Maison Individuelle","16015","16","Hameau des Rossignols 16000 Angoulême",0.86
"3CL - DPE","V2012","2013-04-17",324.23,"E",16.11,"C",1970,31.25,45.623979,-1.044647,"Vente","Logement","17306","17","92 Avenue de Pontaillac 17200 Royan",0.95
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-02",152,"D",35,"D",1978,88.7,43.4569594,1.3203041,"Vente","Maison Individuelle","18000","18","Rue Henri de Toulouse-Lautrec (Chemin piéton) Muret",0.78
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-22",270,"E",63,"F",1948,31,45.350979,1.638599,"Location","Logement","19100","19","12 Rue Hortense Martin 19700 Lagraulière",0.39
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-29",137,"C",32,"D",2001,105,47.702095,4.640163,"Vente","Maison Individuelle","21470","21","Rue de Busseaut 21510 Origny",0.31
"Méthode Facture",,"2013-05-03",169,"D",5,"A",1,96.1,43.6776501,4.4166378,"Neuf","Maison Individuelle","22940","22","Lotissement Chemin des Courses II (Zone résidentielle) Saint-Gilles",0.85
"TROIS_CL_DPE","VERSION_2012","2013-05-02",375.33,"F",102.1,"G",1966,144.41,46.155981,1.57237,"Vente","Maison Individuelle","23047","23","9 Rue de la Tour 23240 Chamborand",0.38
"FACTURE - DPE","V2012","2013-05-02",33.99,"N",1.11,"N",1948,330,45.359622,0.572517,"Vente","Maison Individuelle","24430","24","Barneuil 24310 Brantôme en Périgord",0.94
"FACTURE - DPE","V2012","2013-04-22",0,"N",0,"N",1948,111.32,47.49666,6.531243,"Location","Maison Individuelle","25005","25","1 Rue de la Charrière 25250 Accolans",0.93
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-25",132,"C",30,"D",1989,156.3,45.9210868,6.6957443,"Vente","Maison Individuelle","26000","26","Rue de la Pérouse (Pont) Passy",0.74
"TROIS_CL_DPE","VERSION_2012","2013-04-24",245.88,"E",55.71,"E",1982,134,49.189043,1.333142,"Vente","Maison Individuelle","27022","27","3 Rue Emile Laguette 27940 Le Val d'Hazey",0.59
"Méthode Facture",,"2013-04-30",148,"C",34,"D",1850,80,47.7642178,1.0173943,"Vente","Maison Individuelle","28700","28","Rue de Bordebeurre (Pont) Marcilly-en-Beauce",0.73
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-02",187,"D",8,"B",2006,90,46.6672491,-1.3948954,"Vente","Maison Individuelle","29200","29","Agatha Christie (Arrêt de bus) La Roche-sur-Yon",0.74
"3CL - DPE","V2012","2013-05-06",531.79,"G",29.07,"D",1974,29.2,41.886097,8.814162,"Vente","Logement","2A130","2A","Terra Bella 20128 Grosseto-Prugna",0.53
"3CL - DPE","V2012","2013-05-22",239.56,"E",11.73,"C",1950,71,42.6343395,8.9380615,"Vente","Logement","20074","2B","Place Pascal Paoli (Place de marché) L'Île-Rousse",0.76
"Méthode Facture",,"2013-04-16",0,"N",0,"N",1947,67,,,"Vente","Logement","30900","30",,0
"3CL","3CL-DPE, version 1.3","2013-04-09",206,"D",11,"C",1983,62.01,,,"Vente","Logement","31500","31",,0
"TROIS_CL_DPE","VERSION_2012","2013-04-19",208.37,"D",10.65,"B",1985,100,43.6417119,0.5950781,"Vente","Maison Individuelle","32001","32","Résidence Les Terrasses (Zone résidentielle) Auch",0.9
"3CL - DPE","V2012","2013-04-10",110.23,"C",25.79,"D",1975,222,44.841441,-0.617036,"Vente","Maison Individuelle","33063","33","15 Rue du Professeur Moreau 33200 Bordeaux",0.96
"3CL - DPE","V2012","2013-04-15",574.98,"G",31.49,"D",1974,18,43.632454,3.857363,"Location","Logement","34172","34","280 Rue Adrien Proby 34090 Montpellier",0.96
"Méthode Facture",,"2013-04-16",241,"E",56,"F",1,15,49.9306433,4.0097587,"Vente","Logement","35700","35","Rue de Fougères (Pont) Ohis",0.7
"Méthode Facture",,"2013-04-26",416,"F",13,"C",1947,61,47.7491744,4.1969686,"Vente","Maison Individuelle","36230","36","(Carrière) Chassignelles",0.76
"Méthode Facture",,"2013-04-26",234,"E",7,"B",1947,35,47.219542,0.331568,"Vente","Maison Individuelle","37210","37","11 Route du Chatelier 37500 Saint-Benoît-la-Forêt",0.51
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-19",301,"E",16,"C",1989,68.19,45.092642,6.031827,"Vente","Logement","38550","38","Ruelle de la Chance 38114 Villard-Reculas",0.31
"3CL - DPE","V2012","2013-05-07",0,"N",0,"N",1900,60.37,46.832137,5.702067,"Vente","Maison Individuelle","39434","39","14 Rue des Rondins 39800 Poligny",0.95
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-17",211,"D",3,"A",1989,110,43.564417,-1.361424,"Vente","Maison Individuelle","40248","40","35 Allée des Platanes 40390 Saint-André-de-Seignanx",0.55
"TROIS_CL_DPE","VERSION_2012","2013-04-19",257.68,"E",14.24,"C",2000,124,47.381866,1.950834,"Vente","Maison Individuelle","41084","41","38 Rue du 11 Novembre 41300 La Ferté-Imbault",0.42
"Méthode Facture",,"2013-04-30",272,"E",81,"G",1947,75,,,"Vente","Maison Individuelle","42460","42",,0
"Méthode Facture",,"2013-04-13",0,"N",0,"N",1947,94,,,"Vente","Logement","26120","43",,0
"3CL - DPE","V2012","2013-04-17",213.24,"D",8.6,"B",2011,46,47.211686,-1.729028,"Location","Logement","44047","44","6 Rue Henri Gautier 44220 Couëron",0.52
"TROIS_CL_DPE","VERSION_2012","2013-04-19",200.28,"D",10.94,"B",2004,62.35,43.6746482,4.6373871,"Location","Logement","45006","45","Boulevard Victor Hugo (Pont) Arles",0.75
"3CL - DPE","V2012","2013-05-09",-25.46,"A",1.79,"A",1974,139,44.815456,1.540524,"Vente","Maison Individuelle","46047","46","Combel de la Croze 46350 Calès",0.31
"Méthode Facture",,"2013-05-07",0,"N",0,"N",1947,240,,,"Vente","Maison Individuelle","47360","47",,0
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-22",521,"G",156,"G",1948,285,,,"Vente","Maison Individuelle","48300","48",,0
"TROIS_CL_DPE","VERSION_2012","2013-04-23",215.98,"D",12,"C",1999,140,,,"Vente","Maison Individuelle","49007","49",,0
"Méthode Facture",,"2013-04-16",352,"F",93,"G",1947,217,48.7405394,1.6620623,"Vente","Maison Individuelle","50700","50","Rue de la Poterie (Pont) Condé-sur-Vesgre",0.74
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-07",432,"F",22,"D",1978,123.53,48.900784,2.1978589,"Vente","Maison Individuelle","51300","51","Rue de la Cité Blanche (Chemin piéton) Nanterre",0.78
